,folder,file,score
0,Steph Pappas,NEW FALL CLOTHES TRY ON HAUL (- - Steph Pappas.txt,0.0
1,Steph Pappas,Trying Taco Bells VEGETARIAN ITEMS! - Steph Pappas.txt,0.0
2,Steph Pappas,Trying Burger Kings NEW MEATLESS Burger!! IMPOSSIBLE BURGER - Steph Pappas.txt,0.11668611435239205
3,Steph Pappas,Trying New Pizza Hut Stuffed Cheez-It-s! + MERCH IS OUT - Steph Pappas.txt,0.06215040397762585
4,Steph Pappas,Unboxing MINI BRANDS -SUPER RARE- - Steph Pappas.txt,0.0
5,Steph Pappas,Trying NEW Toasted Cheddar Chalupa from Taco Bell - Steph Pappas.txt,0.0
6,Steph Pappas,Trying NEW FALL STARBUCKS STUFF - Steph Pappas.txt,0.0
7,Steph Pappas,First Impression on SHANE DAWSON X JEFFREE STAR Conspiracy Palette!! _ Steph Pappas - English (auto.txt,0.0
8,Steph Pappas,Trying NEW Jack Skellington Frappe w- MY DOG - Steph Pappas.txt,0.0
9,Jon Rettinger,Apple Got Away With It.txt,0.10723860589812334
10,Jon Rettinger,iPhone 11 Pro Review_ Apple Won - English (auto.txt,0.18181818181818182
11,Jon Rettinger,There Are Too Many Galaxy S10s.txt,0.07874015748031496
12,Jon Rettinger,The Lightest Laptop- - LG Booth at CES 2019.txt,0.0
13,Jon Rettinger,Apple Always Wins.txt,0.07496251874062969
14,Jon Rettinger,iPhone XR vs Galaxy S10e.txt,0.22075055187637968
15,Jon Rettinger,iPhone 11 vs iPhone XR- Don’t Make A Mistake.txt,0.10643959552953698
16,Jon Rettinger,This is pretty RAD.txt,0.0
17,Jon Rettinger,Sunglasses With a Secret.txt,0.0
18,Jon Rettinger,You’ll Want the Galaxy Fold.txt,0.1846153846153846
19,MotorTrend Channel,Head 2 Head - Tesla vs Everyone.txt,0.0
20,MotorTrend Channel,Head 2 Head FULL EPISODE - 2018 Ferrari 812 Superfast v 2019 Dodge Challenger Hellcat Redeye—Ep. 108.txt,0.07498125468632841
21,MotorTrend Channel,Ignition FULL EPISODE Maserati Levante- Are They Serious- - Season 15 Episode 187.txt,0.08605851979345956
22,MotorTrend Channel,Tire Rack Hot Lap- 2019 Mazda Miata RF.txt,0.0
23,MotorTrend Channel,Ignition FULL EPISODE Bentley Continental Supersports - Season 15 Episode 188.txt,0.06207324643078833
24,MotorTrend Channel,Ignition — Best Cars Under $70K.txt,0.06341154090044387
25,MotorTrend Channel,Hot Hatch Battle! 2019 Honda Civic Type R vs. 2020 Hyundai Veloster N—Head 2 Head Preview Ep. 116.txt,0.0
